Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
MNT,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
MNT,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
CVE,<24hrs,24hrs,<30mins,1-12 Hours,N/A,<24hrs,24hrs,<30mins,<24hrs,N/A,5mins,5mins,Ria CCY,<1hr,<6hrs
CVE,<24hrs,Three Days,<30mins,1-12 Hours,N/A,<24hrs,Three Days,<30mins,<24hrs,N/A,5mins,5mins,Exotic CCY,<1hr,<6hrs
HTG,1hr,1hr,1hr,1hr,N/A,1hr,1hwr,1hr,1hr,N/A,5mins,5mins,Ria CCY,5mins,1hr
HTG,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
QAR,<48hrs,<30mins,<30mins,<6hrs,N/A,Three Days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
QAR,<48hrs,<30mins,<30mins,<6hrs,N/A,Three Days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
CNY,<30mins,24hrs,<30mins,5mins,N/A,<24hrs,24hrs,<24hrs,<6hrs,N/A,5mins,5mins,Standard CCY,<24hrs,<24hrs
SLE,24hrs,5mins,<30mins,24hrs,N/A,24hrs,<30mins,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
MRU,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
MRU,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
BSD,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Standard CCY,5mins,24hrs
